Your session has expired,A sua sessão expirou
Show Shipping Delivery Comment,Show Shipping Delivery Comment
Title Box Shipping Delivery Comment,Title Box Shipping Delivery Comment
Show full Header and Footer,Show full Header and Footer
Title Button Place Order,Title Button Place Order
Shipping Delivery Date,Shipping Delivery Date
Shipping Delivery Comment,Shipping Delivery Comment
Order Comment,Order Comment
Check to Subscribe Our Newsletter,Check to Subscribe Our Newsletter
Blog Posts Grid/List,Blog Posts Grid/List
Blog Posts Carousel,Blog Posts Carousel
Instagram Grid/List,Instagram Grid/List
Instagram Carousel,Instagram Carousel
Grid/List,Grid/List
Limited to 4 categories.,Limited to 4 categories.
Limited to 3 categories.,Limited to 3 categories.
Limited to 5 categories.,Limited to 5 categories.
Limited to 6 categories.,Limited to 6 categories.
Item Image,Item Image
Banner,Banner
Mansoy,Mansoy
Image Box,Image Box
Icon Box,Icon Box
Stacked,Stacked
Framed,Framed
Style 1,Style 1
Design 2,Design 2
Design 3,Design 3
Page Builder Blog Posts,Page Builder Blog Posts
Please specify title you want to display on the frontend. You can leave it blank if necessary.,Please specify title you want to display on the frontend. You can leave it blank if necessary.
Short description,Short description
Please specify description you want to display on the frontend. You can leave it blank if necessary.,Please specify description you want to display on the frontend. You can leave it blank if necessary.
Posts Category,Posts Category
Leave blank to display posts from all categories.,Leave blank to display posts from all categories.
Posts Tag,Posts Tag
Leave blank to display posts from all tags.,Leave blank to display posts from all tags.
Posts Author,Posts Author
Leave blank to display posts from all authors.,Leave blank to display posts from all authors.
Posts Publish Date From,Posts Publish Date From
Leave blank or use date format YYYY-MM-DD.,Leave blank or use date format YYYY-MM-DD.
Posts Publish Date To,Posts Publish Date To
Number of Posts,Number of Posts
"Please indicate number of recent posts you want to display. Leave blank to use predefined ""Posts Per Page"" value.","Please indicate number of recent posts you want to display. Leave blank to use predefined ""Posts Per Page"" value."
Space between item,Space between item
Store Url Link,Store Url Link
Link,Link
Anchor Custom Text,Anchor Custom Text
"If empty, the Page Title will be used","If empty, the Page Title will be used"
Anchor Custom Title,Anchor Custom Title
Link Block Template,Link Block Template
Blog Posts,Blog Posts
Category Thumbnail,Category Thumbnail
Insert Images...,Insert Images...
Daily Deal,Daily Deal
FAQ Item,FAQ Item
Newsletter,Newsletter
Product Advanced,Product Advanced
Product Countdown Timers,Product Countdown Timers
Static Menu,Static Menu
Minimog Elements,Minimog Elements
"
                        
                        <p>Style changes will only affect this breakpoint</p>
                        
                    ","
                        
                        <p>Style changes will only affect this breakpoint</p>
                        
                    "
Select Template:,Select Template:
Carousel Settings,Carousel Settings
Carousel Mode,Carousel Mode
Autoplay Speed,Autoplay Speed
ms,ms
Delay in milliseconds between each slide,Delay in milliseconds between each slide
Infinite Loop,Infinite Loop
Show Arrows,Show Arrows
Show Dots,Show Dots
Setting this to more than 1 initializes grid mode.,Setting this to more than 1 initializes grid mode.
Margin Right on item.,Margin Right on item.
px,px
Big Desktops,Big Desktops
"XX-Large devices (larger desktops, 1400px and up)","XX-Large devices (larger desktops, 1400px and up)"
Desktops,Desktops
"X-Large devices (large desktops, 1200px and up)","X-Large devices (large desktops, 1200px and up)"
Small Desktops,Small Desktops
"Large devices (desktops, 992px and up)","Large devices (desktops, 992px and up)"
"Medium devices (tablets, 768px and up)","Medium devices (tablets, 768px and up)"
"Small devices (landscape phones, 576px and up)","Small devices (landscape phones, 576px and up)"
Small Mobile,Small Mobile
"X-Small devices (portrait phones, less than 576px)","X-Small devices (portrait phones, less than 576px)"
Please specify short description you want to display on the frontend. You can leave it blank if necessary.,Please specify short description you want to display on the frontend. You can leave it blank if necessary.
Space between Collections.,Space between Collections.
Image Hover Effects,Image Hover Effects
CSS Image Hover Effects.,CSS Image Hover Effects.
Posts Options,Posts Options
Sort By,Sort By
Width Images,Width Images
Please specify width attributes for images you want to display on the frontend. You can leave it blank if use default.,Please specify width attributes for images you want to display on the frontend. You can leave it blank if use default.
Height Images,Height Images
Please specify height attributes for images you want to display on the frontend. You can leave it blank if use default.,Please specify height attributes for images you want to display on the frontend. You can leave it blank if use default.
Please specify categories you want to display on the frontend.,Please specify categories you want to display on the frontend.
"Minimum height can be a single number with any valid CSS unit (50px, 50%, 50em, 50vh) or a calculation (50% + 50px).","Minimum height can be a single number with any valid CSS unit (50px, 50%, 50em, 50vh) or a calculation (50% + 50px)."
Hover Effects,Hover Effects
CSS Hover Effects.,CSS Hover Effects.
Vertical Alignment,Vertical Alignment
Vertical alignment controls how the child blocks of this container will be positioned. Set minimum height in order to use vertical alignment.,Vertical alignment controls how the child blocks of this container will be positioned. Set minimum height in order to use vertical alignment.
Message Text,Message Text
Show Button,Show Button
Always,Always
On Hover,On Hover
Never Show,Never Show
Button Text,Button Text
Button Type,Button Type
Primary,Primary
Secondary,Secondary
Show Overlay,Show Overlay
Overlay Color,Overlay Color
No Color,No Color
Column,Column
Number of Products,Number of Products
Please indicate number of products you want to display. Leave blank if you want display all.,Please indicate number of products you want to display. Leave blank if you want display all.
Hide Products,Hide Products
Space between Banners.,Space between Banners.
Countdown,Countdown
Countdown to the end sale date will be shown.( 2022/06/20 23:59:59 ),Countdown to the end sale date will be shown.( 2022/06/20 23:59:59 )
Text Day,Text Day
Text Hour,Text Hour
Text Minute,Text Minute
Text Second,Text Second
Answer,Answer
FAQS,FAQS
Layout Design,Layout Design
Packery only active when you use Adapt to image,Packery only active when you use Adapt to image
Action Click,Action Click
Mode,Mode
Heading Text,Heading Text
Quote Description,Quote Description
Image Position,Image Position
View,View
Please specify width you want to display on the frontend. You can leave it blank if necessary.,Please specify width you want to display on the frontend. You can leave it blank if necessary.
Please specify height you want to display on the frontend. You can leave it blank if necessary.,Please specify height you want to display on the frontend. You can leave it blank if necessary.
Alternative Text,Alternative Text
Image Format,Image Format
Show Captions,Show Captions
Show Instagram Icon,Show Instagram Icon
Margin Right and Left on item.,Margin Right and Left on item.
Image Caption,Image Caption
CSS Classes Custom,CSS Classes Custom
Space separated list of classes.,Space separated list of classes.
Select Items,Select Items
Open In,Open In
It will show quickview porduct or pupup product.,It will show quickview porduct or pupup product.
Text Placeholder,Text Placeholder
Text Button,Text Button
Product Widget Advanced,Product Widget Advanced
Select Product Type,Select Product Type
Show Category,Show Category
Product Count Downtimers,Product Count Downtimers
Select Products,Select Products
Menu Item,Menu Item
Staticmenu Link,Staticmenu Link
Show Dropdown,Show Dropdown
PriceCountdown,PriceCountdown
List PriceCountdown Settings,List PriceCountdown Settings
Product ids,Product ids
Collect Product Data,Collect Product Data
BestSeller,BestSeller
TopRate,TopRate
MostViewed,MostViewed
List Product,List Product
Shore Description,Shore Description
Product Type,Product Type
Product Limit,Product Limit
QuickView,QuickView
Enable QuickView,Enable QuickView
Label item,Label item
Action Append Icon Quickview,Action Append Icon Quickview
Data or Class Insert,Data or Class Insert
Variation of thumbnails in navigation.,Variation of thumbnails in navigation.
Sliding direction of thumbnails.,Sliding direction of thumbnails.
Overview,Overview
Skip to the end of the images gallery,Skip to the end of the images gallery
Skip to the beginning of the images gallery,Skip to the beginning of the images gallery
Blueskytechco,Blueskytechco
Blueskytechco 2.3.2,Blueskytechco 2.3.2
Search Suite,Search Suite
Enable Search,Enable Search
Search Type,Search Type
Limit Suggestion,Limit Suggestion
